Restaurant ,Ville ,Prix par personne déjeuner,Prix par per diner 
Michwate Fes ,Casablanca ,140,0
Dar Kaid ,Casablanca ,250,450
Dar Dada,Casablanca ,450,600
Cabestan,Casablanca ,450,600
As'aim,Rabat,250,250
La Capitale ,Rabat,120,120
Grill Robuchon,Rabat,500,600
Palais Mnebhi ,Fes,120,120
Ishq,Fes,300,450
Kasbah Asmaa ,Midelt ,140,140
Chahramane ,Marrakech ,170,250
Chez ALI ,Marrakech ,0,550
Dar soukkar ,Marrakech ,0,650
Safran,Marrakech ,0,650
Kasbah Ait Benhaddou ,Kasbah Ait Benhaddou ,120,0
Oasis de la Kasbah ,Kasbah Ait Benhaddou ,120,120
La Kasbah ,Gorges Todra ,120,120
Antartique ,Tanger ,250,0
Simple Club,Tanger ,0,500
Le Mirage ,Tanger ,0,600
Chez Hicham ,Chefchaouen,140,0
Kasbah Asmaa ,Midelt ,120,0
Diar Illy ,Touama,280,0
India Restaurant Clay Oven, Casablanca, 250, 0
India Restaurant Clay Oven, Rabat, 250, 0
India Restaurant Clay Oven, Marrakech, 250, 0
India Restaurant Clay Oven, Tanger, 250, 0
